PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,PubMedBERT_Relation,BioLinkBERT_Relation,Final_Adjudicated_Relation
1378983,Interleukin-2,TNF,"Interleukin-2, IFNs, and TNF are biologic response modifiers that are part of an intricate network of interacting cytokines released during an immune response.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1378983,Interleukin-2,interacting cytokines,"Interleukin-2, IFNs, and TNF are biologic response modifiers that are part of an intricate network of interacting cytokines released during an immune response.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1380241,Interleukin-6,multifunctional cytokine,"Interleukin-6 (IL-6) is a multifunctional cytokine which acts on a wide variety of cells, regulating immune response, acute phase reaction and hematopoiesis.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1382701,Granulocyte-macrophage colony-stimulating factor,high-affinity receptors,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) activates a broad range of myeloid cells through binding to high-affinity receptors (GM-CSF-R) consisting of at least two distinct subunits, GM-CSF-R alpha and GM-CSF-R beta.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1382704,Tumor necrosis factor,TNF-beta,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1382704,Tumor necrosis factor,interleukin-3,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1384479,Hepatocyte growth factor,hepatotrophic and renotrophic factor,Hepatocyte growth factor (HGF) functions as a hepatotrophic and renotrophic factor for regeneration of the liver and kidney.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1385537,Interleukin-8,cytokine,"Interleukin-8 (IL-8) is a chemotactic and activating cytokine for neutrophils, which plays an important role in acute inflammatory responses.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1391232,Interleukin-6,mitogens,Interleukin-6 (IL-6) is a pleiotropic cytokine and has been shown to support the growth of T and B lymphocytes in the presence of mitogens in vitro.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1398779,Interferon gamma,Lectins,"Lectins from eight leguminous seeds from the Diocleae tribe were compared to Concanavalin A (Con A), a well known T cell mitogen, on the stimulation of lymphocyte proliferation and Interferon gamma (IFN-gamma) production by peripheral blood mononuclear cells (PBMC) from normal volunteers.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1405316,Interleukin-6,acute-phase proteins,"Interleukin-6 (IL-6) has a complex spectrum of biological activities, for example, growth and differentiation of B cells and synthesis of acute-phase proteins by the liver.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1417133,Interferon gamma,IFN gamma,Interferon gamma (IFN gamma) has been advocated in open studies as a beneficial remission inducing drug for the treatment of rheumatoid arthritis (RA).,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1419612,Interleukin-4,Epidermal Growth Factor receptor,Interleukin-4 receptor (IL-4R) and Epidermal Growth Factor receptor (EGFR) were assessed as factors associated with adenoma-carcinoma progression in colorectal cancer and tumour invasion.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1419810,Interleukin-2,cytokines,"The administration of Interleukin-2 (IL-2) causes the release or generation of other cytokines such as tumour necrosis factor (TNF) which, by disturbing the anticoagulant properties of the endothelium, may induce a procoagulant state in patients receiving this drug.",NO_RELATION,Positive_regulation,NO_RELATION,Positive_regulation
1419810,Interleukin-2,tumour necrosis factor,"The administration of Interleukin-2 (IL-2) causes the release or generation of other cytokines such as tumour necrosis factor (TNF) which, by disturbing the anticoagulant properties of the endothelium, may induce a procoagulant state in patients receiving this drug.",NO_RELATION,Positive_regulation,NO_RELATION,Positive_regulation
1419810,Interleukin-2,TNF,"The administration of Interleukin-2 (IL-2) causes the release or generation of other cytokines such as tumour necrosis factor (TNF) which, by disturbing the anticoagulant properties of the endothelium, may induce a procoagulant state in patients receiving this drug.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1423908,Interleukin-6,acute-phase protein,Interleukin-6 (IL-6) induces acute-phase protein synthesis in human hepatocytes.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1424742,Interleukin-6,pleiotropic cytokine,Interleukin-6 (IL-6) is a pleiotropic cytokine which produces uveitis if administered intraocularly.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1425421,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine whose role in osteoclastic bone resorption has not been clearly defined.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1427615,Interleukin-2,interferon,Interleukin-2 (IL-2) is frequently incorporated in antineoplastic therapy: While the effect of interferon on the thyroid has been extensively studied the impact of other cytokines on thyroid function is less well understood.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1427615,Interleukin-2,cytokines,Interleukin-2 (IL-2) is frequently incorporated in antineoplastic therapy: While the effect of interferon on the thyroid has been extensively studied the impact of other cytokines on thyroid function is less well understood.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1427661,Hepatocyte growth factor,hepatotrophic factor,"Hepatocyte growth factor, a potent mitogen for mature hepatocytes in vitro, seems to function as a hepatotrophic factor for liver regeneration.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1427663,Hepatocyte growth factor,hepatocyte mitogen,"Hepatocyte growth factor, a potent hepatocyte mitogen in vitro, appears to trigger hepatocyte regeneration after partial hepatectomy and after acute liver cell necrosis.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1427893,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine that exerts its effects on different target cells by interacting with a specific receptor.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1429519,Hepatocyte growth factor,hepatotropic factor,"Hepatocyte growth factor (HGF), a potent mitogen for mature hepatocytes, has been considered to act as a hepatotropic factor for liver regeneration.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1429625,Interleukin-4,pleiotropic lymphokine,Interleukin-4 (IL-4) is a pleiotropic lymphokine which plays an important role in the immune system by regulating proliferation and differentiation of a wide variety of lymphoid and myeloid cells.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1433969,Interleukin-4,T-lymphocyte-derived 20-kDa glycoprotein,"Interleukin-4 (IL-4) is a T-lymphocyte-derived 20-kDa glycoprotein that has a broad spectrum of biological activity including growth and differentiation of T cells, B cells, mast cells, hematopoietic cells and non-hematopoietic cells.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1433973,Interleukin-8,chemotactic factor,Interleukin-8 (IL-8) is a potent chemotactic factor for neutrophils and T lymphocytes.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1436652,Interleukin-6,acetylcholinesterase,Interleukin-6 (IL-6) and leukemia inhibitory factor (LIF) promoted the survival of acetylcholinesterase (AChE)-positive neurons in culture from embryonic E15 rat spinal cord.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1446669,Interleukin-1 beta,group-II phospholipase A2,Interleukin-1 beta induces gene expression and secretion of group-II phospholipase A2 and release of prostaglandin E2 from rat mesangial cells.,NO_RELATION,Positive_regulation,Negative_regulation,Positive_regulation
1447819,Interleukin-2,alpha,Interleukin-2 receptors are composed of at least two polypeptide chains of alpha (55KD) and beta (75KD).,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1450172,Interferon gamma,lymphokine,"Interferon gamma (IFN-gamma) is a multifunctional lymphokine secreted by activated T lymphocytes, which are found in atherosclerotic lesions.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1455017,Interleukin-2,glycoprotein,Interleukin-2 is a glycoprotein physiologically produced by human lymphocytes which is capable of mediating some still unknown immunologic reactions.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1457425,Interleukin-6,cytokines,"Interleukin-6 (IL-6) is one of the cytokines produced by human alveolar macrophages, lung parenchyma, and other cells in response to injury and infection.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1459995,Hepatocyte growth factor,mesenchymal-derived factor,"Hepatocyte growth factor (HGF), a mesenchymal-derived factor which regulates growth, motility, and morphogenesis of epithelial and endothelial cells, functions as a hepatotrophic and renotrophic factor for regeneration of the liver and kidney.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1459995,Hepatocyte growth factor,hepatotrophic and renotrophic factor,"Hepatocyte growth factor (HGF), a mesenchymal-derived factor which regulates growth, motility, and morphogenesis of epithelial and endothelial cells, functions as a hepatotrophic and renotrophic factor for regeneration of the liver and kidney.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1472920,Interleukin-2,alpha-Interferon,"The soluble Interleukin-2 Receptor (sIL-2R) serum levels were assessed in 42 patients with Hairy-Cell Leukemia (HCL) at diagnosis and after alpha-Interferon therapy and correlated with spleen size, peripheral hematological values, hairy cell index (HCI) and clinical response.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1477181,Granulocyte-macrophage colony-stimulating factor,hematopoietic growth factors,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) and interleukin-3 (IL-3) are hematopoietic growth factors that have been shown to induce proliferation and activation of inflammatory cells, and may play a role in allergic reactions.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1487400,Interleukin-4,lymphokine,Interleukin-4 is a highly pleiotropic T-cell derived lymphokine that has been reported to stimulate a host cell-mediated antitumor response.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1493810,Interleukin-1 beta,motility factors,Interleukin-1 beta (Il-1 beta) and interleukin-1 alpha (Il-1 alpha) were shown to act as motility factors for the human breast carcinoma cell lines SK-BR-3 and ZR-75-1 in vitro.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1493936,Granulocyte-macrophage colony-stimulating factor,pleiotropic molecule,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), a pleiotropic molecule which displays a broad range of haematopoietic activities, has become available for clinical evaluation in various patient groups.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1500182,Tumor necrosis factor,cytokines,"Tumor necrosis factor and related cytokines are thought to be implicated in cell-mediated immunity and pathophysiology in malaria, but their mechanism of action has not been ascertained.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1501572,Tumor necrosis factor,endogenously produced cytokine,"Tumor necrosis factor (TNF) is an endogenously produced cytokine that plays a critical role in mediating septic shock and multi-organ failure, but previous studies of the role TNF in disease have not examined its role in mucosal disease processes.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1512539,Interferon gamma,lymphokine,"Interferon gamma (IFN-gamma), a lymphokine that exerts multiple immunoregulatory effects, has been found to be elevated in the plasma, cerebrospinal fluid, and lymph nodes of human immunodeficiency virus (HIV)-infected individuals and has shown variable effects on HIV replication in acutely infected cells.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1512539,Interferon gamma,immunoregulatory,"Interferon gamma (IFN-gamma), a lymphokine that exerts multiple immunoregulatory effects, has been found to be elevated in the plasma, cerebrospinal fluid, and lymph nodes of human immunodeficiency virus (HIV)-infected individuals and has shown variable effects on HIV replication in acutely infected cells.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1517398,Interleukin-1 beta,corticotropin-releasing factor-41,Interleukin-1 beta (IL-1 beta) induces a dose-dependent increase in the release of corticotropin-releasing factor-41 (CRF) from dispersed rat fetal hypothalamic cells in culture.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
1526987,Interleukin-2,receptor complex,Interleukin-2 (IL-2) and its receptor complex have become one of the most studied members of a growing family of protein hormones characterized by structural similarities in both ligands and their receptors.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION
