PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,PubMedBERT_Relation,BioLinkBERT_Relation
1311566,Interleukin-6,Interferon-gamma,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,Association,NO_RELATION
1311566,Interleukin-6,IFN-gamma,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,Association,NO_RELATION
1311566,Interleukin-6,Mn-superoxide dismutase (Mn-SOD) protein,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,Association,NO_RELATION
1311683,Hepatocyte growth factor,heparin-binding polypeptide mitogen,Hepatocyte growth factor (HGF) is a heparin-binding polypeptide mitogen for a variety of cell types including hepatocytes.,Association,Association,NO_RELATION
1312869,Hepatocyte growth factor,hepatotropic factor,Hepatocyte growth factor (HGF) is the most potent mitogen for mature hepatocytes and seems to act as a hepatotropic factor that has not been purified over the past 30 years.,Association,NO_RELATION,NO_RELATION
1313774,Tumor necrosis factor,manganese superoxide dismutase,Tumor necrosis factor (TNF) induces synthesis of manganese superoxide dismutase (MnSOD).,Association,Association,NO_RELATION
1313774,Tumor necrosis factor,MnSOD,Tumor necrosis factor (TNF) induces synthesis of manganese superoxide dismutase (MnSOD).,Association,Association,NO_RELATION
1314824,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the basal glucose transporter, GLUT-1.",Association,Association,NO_RELATION
1314824,Tumor necrosis factor,basal glucose transporter,"Tumor necrosis factor alpha (TNF alpha), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the basal glucose transporter, GLUT-1.",Association,Association,NO_RELATION
1317575,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha), a primary mediator of systemic responses to sepsis and infection, can be injurious to the organism when present in excessive quantities.",Association,NO_RELATION,NO_RELATION
1318867,Tumor necrosis factor,interleukin-1,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.",Association,Association,NO_RELATION
1318867,Tumor necrosis factor,IL-1,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.",Association,Association,NO_RELATION
1318867,Tumor necrosis factor,cytokines,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.",Association,Positive_regulation,NO_RELATION
1319763,Tumor necrosis factor,interleukin 1,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,Association,NO_RELATION
1319763,Tumor necrosis factor,IL-1,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,Association,NO_RELATION
1319763,Tumor necrosis factor,interleukin 6,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,Association,NO_RELATION
1319763,Tumor necrosis factor,IL-6,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.",Association,Association,NO_RELATION
1321390,Interleukin-6,tyrosine hydroxylase,"Interleukin-6 (IL-6, human recombinant) promoted the survival of catecholaminergic neurons from fetal and postnatal rat midbrains as assessed by an immunohistochemical staining for tyrosine hydroxylase (TH) in culture using a chemically defined medium.",Association,Association,NO_RELATION
1321736,Interleukin-6,cell surface receptor,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,Association,Association,NO_RELATION
1321736,Interleukin-6,gp80,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,Association,Association,NO_RELATION
1321738,Interleukin-6,acute-phase proteins,Interleukin-6 (IL-6) induces changes in gene expression and the N-glycosylation pattern of acute-phase proteins in hepatocytes.,Association,Association,NO_RELATION
1321793,Interleukin-2,beta chain,Interleukin-2 can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the beta chain of the interleukin-2 receptor-beta (IL-2R beta).,Association,Association,NO_RELATION
1321793,Interleukin-2,IL-2R beta,Interleukin-2 can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the beta chain of the interleukin-2 receptor-beta (IL-2R beta).,Association,Association,NO_RELATION
1323842,Granulocyte-macrophage colony-stimulating factor,tumor necrosis factor alpha,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,NO_RELATION,NO_RELATION
1323842,Granulocyte-macrophage colony-stimulating factor,platelet-activating factor,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,Association,NO_RELATION
1323842,Granulocyte-macrophage colony-stimulating factor,anti-phosphotyrosine antibody,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,Association,NO_RELATION
1327540,Tumor necrosis factor,17-kDa protein,Tumor necrosis factor (TNF) is a 17-kDa protein produced by endotoxin-stimulated macrophages.,Association,NO_RELATION,NO_RELATION
1328056,Interleukin-6,cytokine,"Interleukin-6 (IL-6) is a cytokine produced by a number of cells, including macrophages, and is directly involved in the inflammatory response.",Association,Association,NO_RELATION
1328986,Hepatocyte growth factor,scatter factor,"Hepatocyte growth factor (HGF), also known as scatter factor (SF), is a polypeptide which induces motility and/or mitogenesis in epithelial cells.",Association,NO_RELATION,NO_RELATION
1329755,Hepatocyte growth factor,mitogen,Hepatocyte growth factor (HGF) is the most potent known mitogen for hepatocytes in primary culture.,Association,Positive_regulation,NO_RELATION
1330580,Tumor necrosis factor,cytokine,"Tumor necrosis factor (TNF) is a cytokine which, among other properties, is a principle mediator of inflammation and septic shock.",Association,Association,NO_RELATION
1330615,Interleukin-1 beta,IL-1,"Interleukin-1 beta (IL-1), a cytokine released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection.",Association,Association,NO_RELATION
1330615,Interleukin-1 beta,cytokine,"Interleukin-1 beta (IL-1), a cytokine released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection.",Association,Association,NO_RELATION
1331565,Hepatocyte growth factor,69 kDa alpha-chain,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.",Association,Association,NO_RELATION
1331565,Hepatocyte growth factor,kringle domains,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.",Association,Association,NO_RELATION
1331565,Hepatocyte growth factor,34 kDa beta-chain,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.",Association,Association,NO_RELATION
1332867,Hepatocyte growth factor,mesenchymal-derived factor,"Hepatocyte growth factor (HGF) is a mesenchymal-derived factor which induces mitosis, cell movement and morphogenesis of tissue-like structure.",Association,Positive_regulation,NO_RELATION
1333789,Interleukin-2,cytokines,"Interleukin-2 (IL-2) treatment induces other cytokines such as tumour necrosis factor (TNF) TNF may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities.",Association,Association,NO_RELATION
1333789,Interleukin-2,tumour necrosis factor (TNF) TNF,"Interleukin-2 (IL-2) treatment induces other cytokines such as tumour necrosis factor (TNF) TNF may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities.",Association,Association,NO_RELATION
1334847,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha) stimulated rapid (seconds) hydrolysis of sphingomyelin in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline.",Association,Association,NO_RELATION
1334847,Tumor necrosis factor,sphingomyelin,"Tumor necrosis factor alpha (TNF alpha) stimulated rapid (seconds) hydrolysis of sphingomyelin in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline.",Association,Association,NO_RELATION
1336496,Hepatocyte growth factor,cytokine,"Hepatocyte growth factor (HGF)/scatter factor (SF) is a cytokine which is produced by mesenchymal cells and stimulates the motility of some epithelial cells, including cancer cells and vascular endothelial cells.",Association,Association,NO_RELATION
1337403,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) levels were determined by enzyme-linked immunosorbent assay (ELISA) and by cell culture bioassay in supernatants of lipopolysaccharide-stimulated feline monocyte cultures and in cat serum samples.,Association,Association,NO_RELATION
1339618,Interleukin-2,IL2 receptors,"The ability of Interleukin-2 (IL2) production, IL2 receptors expression and proliferative response by lymphocytes from 48 patients with primary lung cancer and 50 normal controls were studied.",Association,Association,Association
1340527,Tumor necrosis factor,cytokine,"Tumor necrosis factor is a cytokine that participates in the mediation of numerous diseases associated with inflammation, cachexia, shock, and tissue injury.",Association,Association,NO_RELATION
1342368,Interleukin-7,cytokine,Interleukin-7 (IL-7) is a cytokine initially described as a growth factor for B cell progenitors.,Association,Association,NO_RELATION
1342368,Interleukin-7,growth factor,Interleukin-7 (IL-7) is a cytokine initially described as a growth factor for B cell progenitors.,Association,Association,NO_RELATION
1351506,Interferon gamma,ICAM-1,"Interferon gamma (IFN-gamma) is known to induce ICAM-1 on keratinocytes (KC) in vitro, and its expression in vivo is correlated with epidermal T-cell infiltration in various dermatoses.",Association,Association,NO_RELATION
1352925,Interleukin-2,non-major histocompatibility complex,Interleukin-2 (IL-2) treatment of cells and generation of non-major histocompatibility complex (MHC)-restricted cytotoxic cells from peripheral blood mononuclear leukocytes (PBML) was studied.,Association,Positive_regulation,NO_RELATION
1355672,Granulocyte-macrophage colony-stimulating factor,neutrophil surface CD11b/CD18,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) causes upregulation of neutrophil surface CD11b/CD18 expression, and enhances the adhesion of neutrophils to cultured human endothelial cells in vitro.",Association,Association,NO_RELATION
1358928,Interferon gamma,intercellular adhesion molecule-1,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,Association,NO_RELATION
1358928,Interferon gamma,ICAM-1,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,Association,NO_RELATION
1358928,Interferon gamma,lymphocyte function-associated antigen type 1,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,Association,NO_RELATION
1358928,Interferon gamma,HLA-DR antigens,"Interferon gamma (IFN-gamma) induces the interaction of intercellular adhesion molecule-1 (ICAM-1) and lymphocyte function-associated antigen type 1 expression, and of HLA-DR antigens by keratinocytes.",Association,Association,NO_RELATION
1363382,Interleukin-2,soluble interleukin-2 receptor,"Interleukin-2 (IL-2) and soluble interleukin-2 receptor (sIL-2R), released during T-lymphocyte activation, were measured in serial samples of serum from 32 patients with renal allografts and other uremic patients.",Association,Association,NO_RELATION
1363382,Interleukin-2,sIL-2R,"Interleukin-2 (IL-2) and soluble interleukin-2 receptor (sIL-2R), released during T-lymphocyte activation, were measured in serial samples of serum from 32 patients with renal allografts and other uremic patients.",Association,Association,NO_RELATION
1365917,Hepatocyte growth factor,scatter factor,"Hepatocyte growth factor, a potent mitogen for epithelial and other cell types, and scatter factor, a stimulant of epithelial cell motility are identical.",Association,NO_RELATION,NO_RELATION
1370387,Interleukin-6,immunoglobulin,Interleukin-6 (IL-6) stimulates growth and immunoglobulin (lg) secretion in Epstein-Barr virus (EBV)-infected B cells.,Association,Association,NO_RELATION
1370387,Interleukin-6,Epstein-Barr virus (EBV)-infected B cells,Interleukin-6 (IL-6) stimulates growth and immunoglobulin (lg) secretion in Epstein-Barr virus (EBV)-infected B cells.,Association,Association,NO_RELATION
1370441,Interleukin-6,immunoglobulin,"Interleukin-6 (IL-6) is a peptide whose properties include the ability to activate T-lymphocytes, stimulate the secretion of immunoglobulin, induce neuronal differentiation, and trigger the release of acute phase proteins.",Association,Association,NO_RELATION
1372137,Interleukin-2,lymphokine,"Interleukin-2 (IL-2) is a lymphokine which, upon binding to its receptor, leads to the proliferation and differentiation of T-cells (helper, suppressor, and cytotoxic) and B-cells.",Association,NO_RELATION,NO_RELATION
1372159,Interleukin-6,multifunctional cytokine,"Interleukin-6 (IL-6) is considered an important multifunctional cytokine involved in the regulation of a variety of cellular responses, including the induction of acute-phase protein synthesis, lymphocyte activation, and hematopoiesis.",Association,Association,NO_RELATION
1372159,Interleukin-6,acute-phase protein,"Interleukin-6 (IL-6) is considered an important multifunctional cytokine involved in the regulation of a variety of cellular responses, including the induction of acute-phase protein synthesis, lymphocyte activation, and hematopoiesis.",Association,Association,NO_RELATION
1373261,Interleukin-2,antigens,Interleukin-2 has been described as an effective adjuvant for a number of antigens in different host species.,Association,Association,NO_RELATION
1373391,Interferon gamma,IFP,Interferon gamma induces expression of a protein termed IFP 53 according to its molecular weight of 53 kDa.,Association,Association,NO_RELATION
1373689,Granulocyte colony-stimulating factor,neutrophil alkaline phosphatase,Granulocyte colony-stimulating factor (G-CSF) is known to act on the neutrophilic granulocytes from chronic myelogenous leukemia (CML) patients to induce neutrophil alkaline phosphatase (NAP) activity.,Association,Association,NO_RELATION
1373689,Granulocyte colony-stimulating factor,NAP,Granulocyte colony-stimulating factor (G-CSF) is known to act on the neutrophilic granulocytes from chronic myelogenous leukemia (CML) patients to induce neutrophil alkaline phosphatase (NAP) activity.,Association,Positive_regulation,NO_RELATION
1375118,Granulocyte-macrophage colony-stimulating factor,Interleukin-3,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), Interleukin-3 (IL-3), and Steel Factor (SF) induce proliferation of hematopoietic cells through binding to specific, high-affinity, cell surface receptors.",Association,NO_RELATION,NO_RELATION
1375118,Granulocyte-macrophage colony-stimulating factor,IL-3,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), Interleukin-3 (IL-3), and Steel Factor (SF) induce proliferation of hematopoietic cells through binding to specific, high-affinity, cell surface receptors.",Association,Positive_regulation,NO_RELATION
1375118,Granulocyte-macrophage colony-stimulating factor,Steel Factor,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), Interleukin-3 (IL-3), and Steel Factor (SF) induce proliferation of hematopoietic cells through binding to specific, high-affinity, cell surface receptors.",Association,NO_RELATION,NO_RELATION
1375123,Granulocyte-macrophage colony-stimulating factor,granulocyte colony-stimulating factor,Granulocyte-macrophage colony-stimulating factor (GM-CSF) and granulocyte colony-stimulating factor (G-CSF) are two of the growing number of recognized cytokines involved in the regulation of hematopoiesis.,Association,Association,NO_RELATION
1375123,Granulocyte-macrophage colony-stimulating factor,G-CSF,Granulocyte-macrophage colony-stimulating factor (GM-CSF) and granulocyte colony-stimulating factor (G-CSF) are two of the growing number of recognized cytokines involved in the regulation of hematopoiesis.,Association,Association,NO_RELATION
1375123,Granulocyte-macrophage colony-stimulating factor,cytokines,Granulocyte-macrophage colony-stimulating factor (GM-CSF) and granulocyte colony-stimulating factor (G-CSF) are two of the growing number of recognized cytokines involved in the regulation of hematopoiesis.,Association,Association,NO_RELATION
1375304,Tumor necrosis factor,macrophage-derived cytokine,Tumor necrosis factor (TNF) is a macrophage-derived cytokine that causes hemorrhagic necrosis of several human tumors in vitro.,Association,Association,NO_RELATION
1376041,Interleukin-6,tumor necrosis factor-alpha,"Interleukin-6 (IL-6) and tumor necrosis factor-alpha (TNF-alpha) are both secreted by in vivo-activated normal B cells and by in vivo-activated B cells from patients with polyclonal B-cell activation, including individuals infected with the human immunodeficiency virus (HIV).",Association,Association,NO_RELATION
1376041,Interleukin-6,TNF-alpha,"Interleukin-6 (IL-6) and tumor necrosis factor-alpha (TNF-alpha) are both secreted by in vivo-activated normal B cells and by in vivo-activated B cells from patients with polyclonal B-cell activation, including individuals infected with the human immunodeficiency virus (HIV).",Association,Association,NO_RELATION
1378728,Tumor necrosis factor,adhesion molecules,"Tumor necrosis factor alpha (TNF-alpha) exerts multiple actions on endothelial cells including among others the expression of pro-coagulant activity and adhesion molecules, and secretion of cytokines.",Association,Association,NO_RELATION
1378728,Tumor necrosis factor,cytokines,"Tumor necrosis factor alpha (TNF-alpha) exerts multiple actions on endothelial cells including among others the expression of pro-coagulant activity and adhesion molecules, and secretion of cytokines.",Association,Association,NO_RELATION
1378983,Interleukin-2,IFNs,"Interleukin-2, IFNs, and TNF are biologic response modifiers that are part of an intricate network of interacting cytokines released during an immune response.",Association,Association,NO_RELATION
1378983,Interleukin-2,TNF,"Interleukin-2, IFNs, and TNF are biologic response modifiers that are part of an intricate network of interacting cytokines released during an immune response.",Association,Association,NO_RELATION
1378983,Interleukin-2,interacting cytokines,"Interleukin-2, IFNs, and TNF are biologic response modifiers that are part of an intricate network of interacting cytokines released during an immune response.",Association,Association,NO_RELATION
1379563,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) orchestrates a wide range of effects that combat severe infections in animals.,Association,Association,NO_RELATION
1380241,Interleukin-6,multifunctional cytokine,"Interleukin-6 (IL-6) is a multifunctional cytokine which acts on a wide variety of cells, regulating immune response, acute phase reaction and hematopoiesis.",Association,Association,NO_RELATION
1382701,Granulocyte-macrophage colony-stimulating factor,high-affinity receptors,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) activates a broad range of myeloid cells through binding to high-affinity receptors (GM-CSF-R) consisting of at least two distinct subunits, GM-CSF-R alpha and GM-CSF-R beta.",Association,NO_RELATION,NO_RELATION
1382701,Granulocyte-macrophage colony-stimulating factor,GM-CSF-R,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) activates a broad range of myeloid cells through binding to high-affinity receptors (GM-CSF-R) consisting of at least two distinct subunits, GM-CSF-R alpha and GM-CSF-R beta.",Association,NO_RELATION,NO_RELATION
1382701,Granulocyte-macrophage colony-stimulating factor,GM-CSF-R alpha,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) activates a broad range of myeloid cells through binding to high-affinity receptors (GM-CSF-R) consisting of at least two distinct subunits, GM-CSF-R alpha and GM-CSF-R beta.",Association,Association,NO_RELATION
1382701,Granulocyte-macrophage colony-stimulating factor,GM-CSF-R beta,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) activates a broad range of myeloid cells through binding to high-affinity receptors (GM-CSF-R) consisting of at least two distinct subunits, GM-CSF-R alpha and GM-CSF-R beta.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,TNF-beta,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,interleukin-3,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,IL-3,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,granulocyte-macrophage colony-stimulating factor,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,GM-CSF,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,GM-CSF receptors,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,granulocyte-CSF,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
1382704,Tumor necrosis factor,G-CSF receptors,"Tumor necrosis factor (TNF)-alpha and TNF-beta have multiple effects on human acute myeloid leukemia (AML) cells in vitro, including (1) synergistic stimulation of proliferation with interleukin-3 (IL-3) and granulocyte-macrophage colony-stimulating factor (GM-CSF) and upregulation of interleukin-3 (IL-3) and GM-CSF receptors; (2) inhibition of granulocyte-CSF (G-CSF)-induced growth and rapid downmodulation of G-CSF receptors; and (3) induction of autocrine growth.",Association,Association,NO_RELATION
